Library	Dataset	Manuscript	FileName	Bibliographical record	IIIF image ID	Width (px)	Height (px)
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0004	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0004	4264	5786
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0005	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0005	4264	5714
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0006	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0006	4264	5515
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0007	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0007	4264	5488
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0010	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0010	4264	5419
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0011	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0011	4264	5522
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0012	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0012	4264	5429
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0014	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0014	4264	5429
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0016	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0016	4264	5451
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0017	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0017	4264	5500
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0019	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0019	4264	5537
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0021	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0021	4264	5495
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0022	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0022	4264	5827
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0024	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0024	4264	5685
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0025	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0025	4264	5767
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0026	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0026	4264	5581
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0030	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0030	4264	5446
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0032	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0032	4264	5446
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0035	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0035	4264	5461
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0037	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0037	4264	5420
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0038	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0038	4264	5585
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0040	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0040	4264	5421
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0041	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0041	4264	5429
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0042	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0042	4264	5579
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0043	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0043	4264	5500
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0044	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0044	4264	5717
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0045	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0045	4264	5717
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0048	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0048	4264	5479
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0049	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0049	4264	5479
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0053	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0053	4264	5479
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0057	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0057	4264	5469
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0059	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0059	4264	5534
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0060	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0060	4264	5534
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0064	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0064	4264	5636
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0070	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0070	4264	5512
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0073	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0073	4264	5501
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0075	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0075	4264	5501
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0078	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0078	4264	5534
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0079	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0079	4264	5447
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0080	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0080	4264	5447
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0082	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0082	4264	5534
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0085	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0085	4264	5394
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0086	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0086	4264	5479
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0087	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0087	4264	5295
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0088	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0088	4264	5404
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0089	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0089	4264	5398
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0091	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0091	4264	5506
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0096	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0096	4264	5533
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0097	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0097	4264	5502
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0099	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0099	4264	5502
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0101	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0101	4264	5396
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0103	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0103	4264	5539
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0104	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0104	4264	5530
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0105	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0105	4264	5516
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0106	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0106	4264	5530
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0109	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0109	4264	5560
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0110	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0110	4264	5530
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0114	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0114	4264	5508
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0115	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0115	4264	5505
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0116	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0116	4264	5508
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0119	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0119	4264	5487
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0121	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0121	4264	5487
BULAC	RASAM1	MS.ARA.609	BULAC_MS_ARA_609_0122	https://bina.bulac.fr/s/bina/ark:/73193/b63z67	0122	4264	5510
